Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
450	600.419	284.360071161411
450	602.761	284.371776824024
450	605.104	284.380200124662
450	607.448	269.695437825193
450	609.792	240.857703232315
450	612.137	240.287120717047
450	614.482	230.775558890102
450	616.827	216.279567212511
450	619.174	220.510330502163
450	621.52	210.600588822311
450	623.867	201.600932024947
450	626.215	192.380137226123
450	628.563	181.571058679336
450	630.911	178.245964558267
450	633.26	165.510062642935
450	635.609	162.09142083516
450	637.959	158.454201445043
450	640.31	147.28666789692
450	642.66	142.283238600706
450	645.012	145.711727726214
450	647.363	122.227355070308
450	649.716	128.566090846778
450	652.068	125.809713857784
450	654.421	127.447577074166
450	656.775	116.650608345858
450	659.128	98.9062279911449
450	661.483	103.583978233502
450	663.838	100.979496956559
450	666.193	103.327837581521
450	668.548	89.983304144995
450	670.904	86.7431465822365
450	673.261	83.8130754887163
450	675.617	86.905040654063
450	677.975	79.7641950494576
450	680.332	65.0817865042798
450	682.69	67.7770239217384
450	685.049	78.6007428849435
450	687.407	51.9464964946748
450	689.767	59.0332215840908
450	692.126	50.2238105345689
450	694.486	52.523718340606
450	696.846	56.9869878343496
450	699.207	54.5103097185804
450	701.568	52.0186323799282
450	703.93	49.1398694039172
450	706.291	42.3952175323232
450	708.653	44.2013724657466
450	711.016	36.9655712083142
450	713.379	47.5009061276196
450	715.742	34.7382201358239
450	718.105	33.1783008124723
450	720.469	35.6473879505739
450	722.833	29.0589382228008
450	725.198	36.1386884216618
450	727.563	22.6936193496319
450	729.928	47.3971050216232
450	732.293	28.7669810919708
450	734.659	33.1655671855705
450	737.025	26.0916801810812
450	739.392	19.823882329009
450	741.759	26.4227726747213
450	744.126	28.3131485955252
450	746.493	31.8196024500808
450	748.861	16.8292812165586
450	751.229	27.9142976542069
450	753.597	11.6797520578423
450	755.965	15.1327519875947
450	758.334	18.9080416394276
450	760.703	9.8008686327747
450	763.072	8.58748789599816
450	765.442	11.2786035509886
450	767.812	9.56647311535852
450	770.182	10.6337092261436
450	772.552	5.05988564487685
450	774.923	-1.63632111578581
450	777.294	13.8094621772718
450	779.665	4.76216396372044
450	782.036	5.54570425735548
450	784.408	7.902151503041
